,"Belfast Centre",,,,,
Date,Ozone,Status,"Nitrogen dioxide",Status,"Sulphur dioxide",Status
14/08/2008,nodata,"V µg/m³",nodata,"V µg/m³",nodata,"V µg/m³"
15/08/2008,30,"V µg/m³",31,"V µg/m³",3,"V µg/m³"
16/08/2008,44,"V µg/m³",21,"V µg/m³",1,"V µg/m³"
17/08/2008,43,"V µg/m³",18,"V µg/m³",3,"V µg/m³"
18/08/2008,31,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
19/08/2008,40,"V µg/m³",22,"V µg/m³",3,"V µg/m³"
20/08/2008,39,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
21/08/2008,43,"V µg/m³",21,"V µg/m³",3,"V µg/m³"
22/08/2008,46,"V µg/m³",24,"V µg/m³",2,"V µg/m³"
23/08/2008,30,"V µg/m³",27,"V µg/m³",2,"V µg/m³"
24/08/2008,36,"V µg/m³",15,"V µg/m³",0,"V µg/m³"
25/08/2008,32,"V µg/m³",24,"V µg/m³",1,"V µg/m³"
26/08/2008,17,"V µg/m³",33,"V µg/m³",2,"V µg/m³"
27/08/2008,27,"V µg/m³",29,"V µg/m³",3,"V µg/m³"
28/08/2008,17,"V µg/m³",20,"V µg/m³",2,"V µg/m³"
29/08/2008,14,"V µg/m³",24,"V µg/m³",2,"V µg/m³"
30/08/2008,30,"V µg/m³",20,"V µg/m³",3,"V µg/m³"
31/08/2008,31,"V µg/m³",16,"V µg/m³",1,"V µg/m³"
01/09/2008,22,"V µg/m³",37,"V µg/m³",3,"V µg/m³"
02/09/2008,24,"V µg/m³",31,"V µg/m³",4,"V µg/m³"
03/09/2008,28,"V µg/m³",31,"V µg/m³",2,"V µg/m³"
04/09/2008,20,"V µg/m³",46,"V µg/m³",5,"V µg/m³"
05/09/2008,24,"V µg/m³",36,"V µg/m³",7,"V µg/m³"
06/09/2008,48,"V µg/m³",15,"V µg/m³",3,"V µg/m³"
07/09/2008,40,"V µg/m³",20,"V µg/m³",3,"V µg/m³"
08/09/2008,29,"V µg/m³",32,"V µg/m³",5,"V µg/m³"
09/09/2008,41,"V µg/m³",23,"V µg/m³",2,"V µg/m³"
10/09/2008,38,"V µg/m³",23,"V µg/m³",1,"V µg/m³"
11/09/2008,34,"V µg/m³",28,"V µg/m³",2,"V µg/m³"
12/09/2008,19,"V µg/m³",48,"V µg/m³",6,"V µg/m³"
13/09/2008,25,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
14/09/2008,36,"V µg/m³",20,"V µg/m³",2,"V µg/m³"
15/09/2008,27,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
16/09/2008,32,"V µg/m³",21,"V µg/m³",2,"V µg/m³"
17/09/2008,12,"V µg/m³",43,"V µg/m³",5,"V µg/m³"
18/09/2008,21,"V µg/m³",40,"V µg/m³",4,"V µg/m³"
19/09/2008,20,"V µg/m³",36,"V µg/m³",3,"V µg/m³"
20/09/2008,28,"V µg/m³",32,"V µg/m³",3,"V µg/m³"
21/09/2008,50,"V µg/m³",20,"V µg/m³",2,"V µg/m³"
22/09/2008,37,"V µg/m³",22,"V µg/m³",4,"V µg/m³"
23/09/2008,18,"V µg/m³",43,"V µg/m³",8,"V µg/m³"
24/09/2008,23,"V µg/m³",43,"V µg/m³",5,"V µg/m³"
25/09/2008,17,"V µg/m³",49,"V µg/m³",5,"V µg/m³"
26/09/2008,23,"V µg/m³",51,"V µg/m³",6,"V µg/m³"
27/09/2008,42,"V µg/m³",24,"V µg/m³",4,"V µg/m³"
28/09/2008,33,"V µg/m³",18,"V µg/m³",3,"V µg/m³"
29/09/2008,36,"V µg/m³",23,"V µg/m³",2,"V µg/m³"
30/09/2008,44,"V µg/m³",20,"V µg/m³",2,"V µg/m³"
01/10/2008,43,"V µg/m³",16,"V µg/m³",3,"V µg/m³"
02/10/2008,41,"V µg/m³",21,"V µg/m³",2,"V µg/m³"
03/10/2008,34,"V µg/m³",30,"V µg/m³",3,"V µg/m³"
04/10/2008,32,"V µg/m³",28,"V µg/m³",3,"V µg/m³"
05/10/2008,38,"V µg/m³",25,"V µg/m³",4,"V µg/m³"
06/10/2008,21,"V µg/m³",45,"V µg/m³",7,"V µg/m³"
07/10/2008,28,"V µg/m³",37,"V µg/m³",4,"V µg/m³"
08/10/2008,20,"V µg/m³",45,"V µg/m³",5,"V µg/m³"
09/10/2008,19,"V µg/m³",47,"V µg/m³",5,"V µg/m³"
10/10/2008,25,"V µg/m³",41,"V µg/m³",4,"V µg/m³"
11/10/2008,24,"V µg/m³",40,"V µg/m³",6,"V µg/m³"
12/10/2008,16,"V µg/m³",37,"V µg/m³",6,"V µg/m³"
13/10/2008,28,"V µg/m³",40,"V µg/m³",5,"V µg/m³"
14/10/2008,8,"V µg/m³",60,"V µg/m³",8,"V µg/m³"
15/10/2008,23,"V µg/m³",40,"V µg/m³",5,"V µg/m³"
16/10/2008,25,"V µg/m³",37,"V µg/m³",5,"V µg/m³"
17/10/2008,16,"V µg/m³",44,"V µg/m³",5,"V µg/m³"
18/10/2008,21,"V µg/m³",36,"V µg/m³",4,"V µg/m³"
19/10/2008,38,"V µg/m³",13,"V µg/m³",1,"V µg/m³"
20/10/2008,37,"V µg/m³",28,"V µg/m³",2,"V µg/m³"
21/10/2008,31,"V µg/m³",33,"V µg/m³",3,"V µg/m³"
22/10/2008,25,"V µg/m³",39,"V µg/m³",4,"V µg/m³"
23/10/2008,42,"V µg/m³",30,"V µg/m³",3,"V µg/m³"
24/10/2008,28,"V µg/m³",43,"V µg/m³",4,"V µg/m³"
25/10/2008,41,"V µg/m³",23,"V µg/m³",3,"V µg/m³"
26/10/2008,53,"V µg/m³",9,"V µg/m³",1,"V µg/m³"
27/10/2008,31,"V µg/m³",33,"V µg/m³",4,"V µg/m³"
28/10/2008,31,"V µg/m³",29,"V µg/m³",6,"V µg/m³"
29/10/2008,22,"V µg/m³",45,"V µg/m³",5,"V µg/m³"
30/10/2008,28,"V µg/m³",31,"V µg/m³",8,"V µg/m³"
31/10/2008,35,"V µg/m³",30,"V µg/m³",5,"V µg/m³"
01/11/2008,28,"V µg/m³",32,"V µg/m³",6,"V µg/m³"
02/11/2008,18,"V µg/m³",43,"V µg/m³",9,"V µg/m³"
03/11/2008,5,"V µg/m³",80,"V µg/m³",23,"V µg/m³"
04/11/2008,16,"V µg/m³",51,"V µg/m³",10,"V µg/m³"
05/11/2008,9,"V µg/m³",53,"V µg/m³",6,"V µg/m³"
06/11/2008,17,"V µg/m³",46,"V µg/m³",6,"V µg/m³"
07/11/2008,32,"V µg/m³",37,"V µg/m³",5,"V µg/m³"
08/11/2008,31,"V µg/m³",35,"V µg/m³",4,"V µg/m³"
09/11/2008,46,"V µg/m³",17,"V µg/m³",4,"V µg/m³"
10/11/2008,38,"V µg/m³",30,"V µg/m³",6,"V µg/m³"
11/11/2008,51,"V µg/m³",17,"V µg/m³",3,"V µg/m³"
12/11/2008,20,"V µg/m³",41,"V µg/m³",7,"V µg/m³"
13/11/2008,29,"V µg/m³",34,"V µg/m³",4,"V µg/m³"
14/11/2008,31,"V µg/m³",35,"V µg/m³",4,"V µg/m³"
15/11/2008,32,"V µg/m³",29,"V µg/m³",4,"V µg/m³"
16/11/2008,34,"V µg/m³",35,"V µg/m³",10,"V µg/m³"
17/11/2008,18,"V µg/m³",52,"V µg/m³",8,"V µg/m³"
18/11/2008,36,"V µg/m³",31,"V µg/m³",4,"V µg/m³"
19/11/2008,36,"V µg/m³",31,"V µg/m³",4,"V µg/m³"
20/11/2008,48,"V µg/m³",23,"V µg/m³",3,"V µg/m³"
21/11/2008,51,"V µg/m³",19,"V µg/m³",3,"V µg/m³"
22/11/2008,40,"V µg/m³",25,"V µg/m³",5,"V µg/m³"
23/11/2008,48,"V µg/m³",12,"V µg/m³",2,"V µg/m³"
24/11/2008,36,"V µg/m³",28,"V µg/m³",4,"V µg/m³"
25/11/2008,nodata,"V µg/m³",39,"V µg/m³",4,"V µg/m³"
26/11/2008,29,"V µg/m³",34,"V µg/m³",3,"V µg/m³"
27/11/2008,35,"V µg/m³",38,"V µg/m³",4,"V µg/m³"
28/11/2008,21,"V µg/m³",46,"V µg/m³",4,"V µg/m³"
29/11/2008,24,"V µg/m³",37,"V µg/m³",4,"V µg/m³"
30/11/2008,22,"V µg/m³",34,"V µg/m³",5,"V µg/m³"
01/12/2008,29,"V µg/m³",39,"V µg/m³",6,"V µg/m³"
02/12/2008,32,"V µg/m³",38,"V µg/m³",5,"V µg/m³"
03/12/2008,13,"V µg/m³",65,"V µg/m³",12,"V µg/m³"
04/12/2008,22,"V µg/m³",50,"V µg/m³",6,"V µg/m³"
05/12/2008,25,"V µg/m³",33,"V µg/m³",5,"V µg/m³"
06/12/2008,4,"V µg/m³",63,"V µg/m³",16,"V µg/m³"
07/12/2008,12,"V µg/m³",38,"V µg/m³",7,"V µg/m³"
