,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
31/12/1994,49,V µg/m³,7,V µg/m³,23,V µg/m³,27,V µg/m³,0.7,V mg/m³
01/01/1995,62,V µg/m³,3,V µg/m³,14,V µg/m³,24,V µg/m³,0.5,V mg/m³
02/01/1995,40,V µg/m³,42,V µg/m³,49,V µg/m³,106,V µg/m³,1.4,V mg/m³
03/01/1995,35,V µg/m³,21,V µg/m³,44,V µg/m³,40,V µg/m³,0.8,V mg/m³
04/01/1995,12,V µg/m³,50,V µg/m³,65,V µg/m³,89,V µg/m³,1.5,V mg/m³
05/01/1995,28,V µg/m³,34,V µg/m³,52,V µg/m³,46,V µg/m³,0.5,V mg/m³
06/01/1995,26,V µg/m³,51,V µg/m³,53,V µg/m³,72,V µg/m³,0.8,V mg/m³
07/01/1995,26,V µg/m³,20,V µg/m³,44,V µg/m³,43,V µg/m³,0.5,V mg/m³
08/01/1995,51,V µg/m³,4,V µg/m³,23,V µg/m³,35,V µg/m³,0.5,V mg/m³
09/01/1995,59,V µg/m³,6,V µg/m³,21,V µg/m³,24,V µg/m³,1,V mg/m³
10/01/1995,50,V µg/m³,14,V µg/m³,29,V µg/m³,26,V µg/m³,0.8,V mg/m³
11/01/1995,35,V µg/m³,16,V µg/m³,41,V µg/m³,46,V µg/m³,0.7,V mg/m³
12/01/1995,22,V µg/m³,90,V µg/m³,60,V µg/m³,109,V µg/m³,1.4,V mg/m³
13/01/1995,17,V µg/m³,46,V µg/m³,50,V µg/m³,58,V µg/m³,0.9,V mg/m³
14/01/1995,33,V µg/m³,17,V µg/m³,44,V µg/m³,45,V µg/m³,0.6,V mg/m³
15/01/1995,38,V µg/m³,11,V µg/m³,33,V µg/m³,42,V µg/m³,0.9,V mg/m³
16/01/1995,34,V µg/m³,27,V µg/m³,47,V µg/m³,46,V µg/m³,0.7,V mg/m³
17/01/1995,56,V µg/m³,16,V µg/m³,28,V µg/m³,21,V µg/m³,0.4,V mg/m³
18/01/1995,37,V µg/m³,27,V µg/m³,45,V µg/m³,40,V µg/m³,0.6,V mg/m³
19/01/1995,24,V µg/m³,100,V µg/m³,60,V µg/m³,93,V µg/m³,1.7,V mg/m³
20/01/1995,23,V µg/m³,54,V µg/m³,58,V µg/m³,92,V µg/m³,1.2,V mg/m³
21/01/1995,50,V µg/m³,10,V µg/m³,33,V µg/m³,27,V µg/m³,0.9,V mg/m³
22/01/1995,57,V µg/m³,4,V µg/m³,21,V µg/m³,45,V µg/m³,0.5,V mg/m³
23/01/1995,54,V µg/m³,8,V µg/m³,22,V µg/m³,24,V µg/m³,0.5,V mg/m³
24/01/1995,27,V µg/m³,48,V µg/m³,50,V µg/m³,81,V µg/m³,1.1,V mg/m³
25/01/1995,14,V µg/m³,207,V µg/m³,75,V µg/m³,197,V µg/m³,2.9,V mg/m³
26/01/1995,24,V µg/m³,26,V µg/m³,58,V µg/m³,63,V µg/m³,1.1,V mg/m³
27/01/1995,22,V µg/m³,46,V µg/m³,59,V µg/m³,68,V µg/m³,1.7,V mg/m³
