,"Belfast Centre",,,,,
17/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
18/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
19/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
20/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
21/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
22/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
23/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
24/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
25/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",2,"V µg/m³"
26/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
27/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
28/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
29/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",3,"V µg/m³"
30/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
31/12/2019,nodata,"V µg/m³",nodata,"V µg/m³",1,"V µg/m³"
